algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.605833333333,0.265238095238,5.85714285714,9.42857142857,16.0714285714,2.71428571429,2.0,9.42857142857
randomForest,0,0,10,0.435476190476,0.223511904762,3.78571428571,9.42857142857,16.0714285714,2.71428571429,2.0,9.42857142857
0.0,0.6,0.0,10,0.968571428571,0.483392857143,4.92857142857,9.42857142857,16.0714285714,2.71428571429,2.0,9.42857142857
0.1,0.6,0.1,10,0.854642857143,0.426071428571,6.28571428571,9.42857142857,16.0714285714,2.71428571429,2.0,9.42857142857
0.2,0.6,0.2,10,0.76119047619,0.379107142857,6.21428571429,9.42857142857,16.0714285714,2.71428571429,2.0,9.42857142857
uniform,0,0,20,0.61119047619,0.223404761905,12.0714285714,17.2142857143,31.4285714286,4.07142857143,4.0,17.2142857143
randomForest,0,0,20,0.55130952381,0.251511904762,9.21428571429,17.2142857143,31.4285714286,4.07142857143,4.0,17.2142857143
0.0,0.6,0.0,20,0.952857142857,0.39075,7.57142857143,17.2142857143,31.4285714286,4.07142857143,4.0,17.2142857143
0.1,0.6,0.1,20,0.839880952381,0.355797619048,11.8571428571,17.2142857143,31.4285714286,4.07142857143,4.0,17.2142857143
0.2,0.6,0.2,20,0.756428571429,0.323226190476,12.9285714286,17.2142857143,31.4285714286,4.07142857143,4.0,17.2142857143
uniform,0,0,30,0.61380952381,0.206805555556,19.5714285714,24.3571428571,47.0,5.14285714286,4.0,24.3571428571
randomForest,0,0,30,0.593928571429,0.222005385488,15.9285714286,24.3571428571,47.0,5.14285714286,4.0,24.3571428571
0.0,0.6,0.0,30,0.949642857143,0.338618197279,12.8571428571,24.3571428571,47.0,5.14285714286,4.0,24.3571428571
0.1,0.6,0.1,30,0.821666666667,0.306743197279,19.5,24.3571428571,47.0,5.14285714286,4.0,24.3571428571
0.2,0.6,0.2,30,0.729285714286,0.27931122449,19.6428571429,24.3571428571,47.0,5.14285714286,4.0,24.3571428571
uniform,0,0,40,0.625119047619,0.213971088435,22.2142857143,28.8571428571,52.1428571429,5.14285714286,5.78571428571,28.8571428571
randomForest,0,0,40,0.521547619048,0.198354591837,11.7857142857,28.8571428571,52.1428571429,5.14285714286,5.78571428571,28.8571428571
0.0,0.6,0.0,40,0.945714285714,0.332015306122,13.7857142857,28.8571428571,52.1428571429,5.14285714286,5.78571428571,28.8571428571
0.1,0.6,0.1,40,0.824880952381,0.309967403628,21.4285714286,28.8571428571,52.1428571429,5.14285714286,5.78571428571,28.8571428571
0.2,0.6,0.2,40,0.734285714286,0.279753401361,21.7142857143,28.8571428571,52.1428571429,5.14285714286,5.78571428571,28.8571428571
