0,P,0.9938087273671614
6,P,0.0024136216615904685
3,P,0.0010182466451939805
7,P,5.630496671485994E-4
4,P,5.630496671485994E-4
13,P,5.630496671485994E-4
11,P,3.575735835700516E-4
15,P,1.8122602744497185E-4
8,9,P,1.6291946410435676E-4
8,14,P,4.0729866020421386E-5
2,8,P,4.0729866015438204E-5
1,8,P,2.4136216907123133E-5
8,27,P,2.4136216883982162E-5
8,23,P,2.4136216883982162E-5
8,19,P,2.4136216883982162E-5
8,12,P,2.4136216883982162E-5
8,10,P,2.4136216883982162E-5
5,8,P,1.7182912231742323E-5
8,20,P,1.7182912207662552E-5
8,17,P,1.7182912207662552E-5
8,26,P,1.7182911968387342E-5
8,25,P,1.3346361843184172E-5
8,21,P,1.3346361843184172E-5
8,18,P,1.3346361843184172E-5
8,16,P,1.3346361843184172E-5
8,24,P,1.0912279711185407E-5
8,22,P,9.229840426316114E-6
