0,P,0.8966245267349353
9,11,P,0.017785503008273303
9,43,P,0.004446375751777375
9,19,P,0.004446375751777375
9,31,P,0.0044463757473241885
9,27,P,0.0044463757473241885
9,25,P,0.0044463757473145816
9,34,P,0.002634889334101457
9,28,P,0.0026348893341014558
6,P,0.002526349855631416
11,44,65,P,0.0019564053306660215
2,9,P,0.0018758147700982644
9,53,P,0.0018758147541391118
9,59,P,0.0014569884063699676
9,42,P,0.0014569884063699676
9,26,P,0.0014569884063699676
9,13,P,0.0014569884063699676
9,21,P,0.0014569884063249784
9,18,P,0.0014569884063249784
9,16,P,0.0014569884063249784
9,20,P,0.0014569884060585815
1,9,P,0.0014569884039983315
3,P,0.00135703458655472
30,P,0.0013570345865547197
7,9,P,0.001191265794092228
9,33,P,0.0011912657823960394
9,22,P,0.0011912657823960394
9,63,P,0.0011912657823891766
9,55,P,0.0011912657823891766
9,50,P,0.0011912657823891766
9,37,P,0.0011912657823891766
5,9,P,0.0010075981805266706
9,36,P,0.00100759817799679
9,12,P,0.00100759817799679
9,47,P,0.0010075981727937467
9,41,P,0.0010075981727937467
9,40,P,0.001007598160069564
9,17,P,0.001007598160069564
9,60,P,0.0010075981595902173
9,56,P,0.0010075981595902173
9,48,P,8.73036772230808E-4
9,23,P,8.730367681825738E-4
9,64,P,8.730367352089849E-4
9,61,P,8.730367352089849E-4
9,58,P,8.730367352089849E-4
9,57,P,8.730367352089849E-4
9,52,P,8.730367234449433E-4
9,39,P,8.730367234449433E-4
62,P,8.131437976280783E-4
46,P,8.131437976280783E-4
10,P,8.131437976280783E-4
9,54,P,7.701999093970555E-4
9,38,P,7.701998637297243E-4
9,35,P,7.701998637297243E-4
9,51,P,7.701998636416621E-4
9,49,P,6.233710298402218E-4
29,P,5.257292594115548E-4
8,P,5.257292594115547E-4
45,P,5.257292594115547E-4
4,P,5.257292594115547E-4
15,P,5.257292594115547E-4
24,P,3.5952037701828476E-4
14,P,3.5952037701828476E-4
32,P,1.441363925898065E-4
