91,P,0.979522642853134
15,63,P,0.0059028512696708176
0,P,0.0034633523725407173
42,P,0.0021834129848681176
15,86,P,0.0015814823480115997
15,82,P,0.0011590120634955394
15,56,P,0.00108968920102873
15,69,P,8.27448660543522E-4
55,P,5.13089246223939E-4
15,41,P,3.449877438646995E-4
19,P,2.6004472950581634E-4
15,24,P,2.3377628794028652E-4
95,P,1.9877609056125937E-4
15,54,P,1.6948780873312247E-4
96,P,1.5688461072136469E-4
90,P,1.5688461072136469E-4
60,P,1.5688461072136469E-4
59,P,1.3967419655922748E-4
94,P,1.2697654232657045E-4
20,P,1.2697654232657045E-4
97,P,1.0487826426353492E-4
61,P,1.0487826426353492E-4
28,P,1.0487826426353492E-4
17,P,8.808793037763378E-5
12,P,8.808793037763378E-5
16,P,7.503137405045078E-5
13,P,7.503137405045078E-5
11,P,7.503137405045078E-5
98,P,6.467778447723375E-5
92,P,6.467778447723375E-5
15,37,P,5.844407197693879E-5
15,33,P,5.844407197693879E-5
15,72,P,3.463352411007673E-5
15,67,P,3.463352411007673E-5
15,53,P,2.465609283699924E-5
15,45,P,2.465609283699924E-5
15,87,P,1.915095256641002E-5
15,74,P,1.915095256641002E-5
15,66,P,1.915095256641002E-5
15,23,P,1.5658241069421778E-5
7,15,P,1.565824030038205E-5
15,85,P,1.3244076421484323E-5
15,83,P,1.3244076421484323E-5
15,52,P,1.3244076421484323E-5
15,48,P,1.3244076421484323E-5
15,31,P,1.3244076421484323E-5
15,18,P,1.3244076421484323E-5
1,15,P,1.1475371816948191E-5
15,39,P,1.1475366965302373E-5
15,35,P,1.1475366965302373E-5
15,29,P,1.1475366965302373E-5
8,15,P,1.0123650464985363E-5
15,84,P,1.0123626857162127E-5
15,80,P,1.0123626857162127E-5
15,71,P,1.0123626857162127E-5
15,47,P,1.0123626857162127E-5
15,44,P,1.0123626857162127E-5
15,40,P,1.0123626857162127E-5
15,38,P,1.0123626857162127E-5
15,34,P,1.0123626857162127E-5
15,26,P,1.0123626857162127E-5
3,15,P,9.056919040512801E-6
15,81,P,9.05629504598662E-6
15,73,P,9.05629504598662E-6
15,70,P,9.05629504598662E-6
15,68,P,9.05629504598662E-6
15,64,P,9.05629504598662E-6
15,62,P,9.05629504598662E-6
15,51,P,9.05629504598662E-6
15,43,P,9.05629504598662E-6
15,27,P,9.05629504598662E-6
15,21,P,9.05629504598662E-6
5,15,P,8.193573707614418E-6
2,15,P,8.193573707614418E-6
15,89,P,8.192560995480415E-6
15,77,P,8.192560995480415E-6
15,65,P,8.192560995480415E-6
15,36,P,8.192560995480415E-6
15,25,P,8.192560995480415E-6
9,15,P,7.480202668146808E-6
6,15,P,7.480202668146808E-6
15,93,P,7.478788760444976E-6
15,79,P,7.478788760444976E-6
15,78,P,7.478788760444976E-6
15,57,P,7.478788760444976E-6
15,46,P,7.478788760444976E-6
15,32,P,7.478788760444976E-6
15,30,P,7.478788760444976E-6
14,15,P,6.881025576440405E-6
10,15,P,6.881025576440405E-6
15,88,P,6.878695697713813E-6
15,75,P,6.878695697713813E-6
4,15,P,6.371668509332765E-6
15,76,P,6.36636435911498E-6
15,58,P,6.36636435911498E-6
15,50,P,6.36636435911498E-6
15,22,P,6.36636435911498E-6
15,49,P,5.927624465029202E-6
