0,P,0.5505790747915001
30,P,0.13447146690791023
29,P,0.10419127914634087
9,53,P,0.058649575486580056
9,26,P,0.0455544724413284
9,47,P,0.031503753217107085
9,63,P,0.01124765685811642
6,P,0.008602798080513643
9,11,P,0.005505790779152769
3,P,0.004621012608519253
9,50,P,0.004056531981615758
9,31,P,0.0033034744639669623
46,P,0.003045834318792263
62,P,0.002768940289811148
10,P,0.002768940289811148
8,P,0.0017902281640264754
45,P,0.0017902281640264754
4,P,0.0017902281640264754
15,P,0.0017902281640264754
9,43,P,0.0013764476946981242
9,19,P,0.0013764476946981242
9,27,P,0.0013764476933195676
9,25,P,0.0013764476933165936
24,P,0.0012242489702778835
14,P,0.0012242489702778835
9,34,P,8.156727078809902E-4
9,28,P,8.156727078809898E-4
2,9,P,5.806888711441774E-4
32,P,4.908173263254698E-4
9,59,P,4.51034380607212E-4
9,42,P,4.51034380607212E-4
9,13,P,4.51034380607212E-4
9,21,P,4.5103438059328487E-4
9,18,P,4.5103438059328487E-4
9,16,P,4.5103438059328487E-4
9,20,P,4.510343805108174E-4
1,9,P,4.510343798730337E-4
7,9,P,3.687756383152108E-4
9,33,P,3.687756346944661E-4
9,22,P,3.687756346944661E-4
9,55,P,3.6877563469234166E-4
9,37,P,3.6877563469234166E-4
5,9,P,3.1191835107808057E-4
9,36,P,3.1191835029491504E-4
9,12,P,3.1191835029491504E-4
9,41,P,3.1191834868422863E-4
9,40,P,3.1191834474525156E-4
9,17,P,3.1191834474525156E-4
9,60,P,3.1191834459686206E-4
9,56,P,3.1191834459686206E-4
9,48,P,2.70262685748821E-4
9,23,P,2.702626844956245E-4
9,64,P,2.7026267428811553E-4
9,61,P,2.7026267428811553E-4
9,58,P,2.7026267428811553E-4
9,57,P,2.7026267428811553E-4
9,52,P,2.7026267064636576E-4
9,39,P,2.7026267064636576E-4
9,54,P,2.3842786775780367E-4
9,38,P,2.3842785362074097E-4
9,35,P,2.3842785362074097E-4
9,51,P,2.384278535934799E-4
9,49,P,1.9297460783024927E-4
11,44,65,P,5.505790778465978E-5
