0,P,0.1706386032195237
2,175,P,0.16179067572783845
175,184,P,0.04044766893086378
91,P,0.013579098489284118
72,175,P,0.01325389215606114
164,175,P,0.013253892153964754
74,175,P,0.009165891479784331
121,175,P,0.009165891438571187
152,175,P,0.007941816954154149
11,175,P,0.007941816954154149
136,175,P,0.007941816939860845
55,175,P,0.007006333404400502
142,175,P,0.007006333404400502
60,175,P,0.007006333394902747
8,175,P,0.007006333121059047
44,175,P,0.006268102146260128
124,175,P,0.006268102108859263
159,175,P,0.006268102078544963
84,175,P,0.006268101839885404
76,175,P,0.006268101839885404
49,175,P,0.006268101839885404
46,175,P,0.006268101839885404
150,175,P,0.006268101839885404
39,175,P,0.005670664476126742
151,175,P,0.005670664476126742
88,175,P,0.005670664421308531
69,175,P,0.005670664421308531
24,175,P,0.005670664421308531
146,175,P,0.005670664421308531
51,175,P,0.005670664417901134
1,175,P,0.005670664417901134
65,175,P,0.005177237313088325
96,175,P,0.005177235301767998
43,175,P,0.00517723471290755
170,175,P,0.00517723471290755
141,175,P,0.00517723471290755
131,175,P,0.00517723471290755
108,175,P,0.00517723471290755
80,175,P,0.00517723402286123
75,175,P,0.00517723402286123
57,175,P,0.00517723402286123
52,175,P,0.00517723402286123
36,175,P,0.00517723402286123
139,175,P,0.00517723402286123
116,175,P,0.00517723402286123
140,175,P,0.0051772330241749475
144,175,P,0.00476282735722309
4,175,P,0.004762827260389737
34,175,P,0.004762827260389737
127,175,P,0.004762827260389737
115,175,P,0.004762827260389737
104,175,P,0.004762827260389737
92,175,P,0.004762826664758299
79,175,P,0.004762826664758299
68,175,P,0.004762826664758299
66,175,P,0.004762826664758299
50,175,P,0.004762826664758299
27,175,P,0.004762826664758299
101,175,P,0.004762826664758299
70,175,P,0.004409856183763922
64,175,P,0.004409856183763922
38,175,P,0.004409856183763922
28,175,P,0.004409856183763922
167,175,P,0.004409856183763922
123,175,P,0.004409856183763922
114,175,P,0.004409856183763922
102,175,P,0.004409856183763922
9,175,P,0.00440985608765327
169,175,P,0.00440985608765327
133,175,P,0.00440985608765327
33,175,P,0.00440985596774251
30,175,P,0.00440985596774251
163,175,P,0.00440985596774251
105,175,P,0.00440985596774251
175,176,P,0.004409845938743282
82,175,P,0.004105604353877056
128,175,P,0.004105604353877056
111,175,P,0.004105604353877056
12,175,P,0.0041056037661501765
97,175,P,0.004105603240035484
6,175,P,0.004105603240035484
53,175,P,0.004105603240035484
3,175,P,0.004105603240035484
171,175,P,0.004105603240035484
168,175,P,0.004105603240035484
138,175,P,0.004105603240035484
112,175,P,0.004105603240035484
106,175,P,0.004105603240035484
94,175,P,0.004105602617618627
73,175,P,0.004105602617618627
132,175,P,0.004105602617618627
10,175,P,0.004105602617618627
37,175,P,0.0038406315774772307
160,175,P,0.0038406315774772307
174,175,P,0.0038406315753748534
126,175,P,0.0038406315753748534
145,175,P,0.00384063151723301
47,175,P,0.003840630848405012
137,175,P,0.003840630848405012
118,175,P,0.003840630848405012
113,175,P,0.003840630848405012
95,175,P,0.0036077914817985728
161,175,P,0.0036077914817985728
129,175,P,0.003607791443956307
7,175,P,0.0036077896674881517
45,175,P,0.0036077896674881517
40,175,P,0.0036077896674881517
134,175,P,0.0036077896674881517
130,175,P,0.0036077896674881517
18,175,P,0.0036077878809740852
143,175,P,0.0036077878809740852
14,175,P,0.0036077878809740852
175,178,P,0.0036076647560406754
67,175,P,0.003401549429064516
21,175,P,0.003401549429064516
13,175,P,0.003401549429064516
122,175,P,0.003401549429064516
29,175,P,0.00340154591215259
78,175,P,0.0032176466506719566
135,175,P,0.0032176314623550235
83,175,P,0.003217522003168503
81,175,P,0.003217522003168503
63,175,P,0.003217522003168503
5,175,P,0.003217522003168503
162,175,P,0.003217522003168503
125,175,P,0.003217522003168503
61,175,P,0.0030525952976771017
77,175,P,0.0029036685668418828
99,P,0.0014422935791461367
180,P,0.0014422935791461367
25,P,0.0011216162052735822
165,P,0.0011216162052735822
181,P,8.894536405035875E-4
166,P,8.894536405035875E-4
179,P,7.17234363811682E-4
172,P,7.17234363811682E-4
41,P,5.86783750097863E-4
26,P,5.86783750097863E-4
182,P,5.86783750097863E-4
98,P,4.8616201741752803E-4
62,P,4.8616201741752803E-4
42,P,4.8616201741752803E-4
100,P,4.8616201741752803E-4
23,P,4.073038763011598E-4
20,P,3.4462668272853224E-4
17,P,3.4462668272853224E-4
16,P,3.4462668272853224E-4
15,P,3.4462668272853224E-4
177,P,2.9418271449097743E-4
54,P,2.5312575340029304E-4
183,P,2.5312575340029304E-4
22,P,2.1936983593505652E-4
