2,P,0.14
61,9,P,0.04
61,42,P,0.04
61,4,P,0.04
0,62,P,0.04
0,61,P,0.04
0,53,P,0.04
0,16,P,0.04
61,16,P,0.03
60,P,0.03
55,P,0.03
3,42,P,0.03
13,42,P,0.03
0,42,P,0.03
7,61,P,0.01
7,42,P,0.01
61,65,P,0.01
61,64,P,0.01
61,30,P,0.01
61,14,P,0.01
6,61,P,0.01
6,42,P,0.01
58,61,P,0.01
58,42,P,0.01
51,61,P,0.01
51,42,P,0.01
47,61,P,0.01
47,42,P,0.01
41,42,P,0.01
38,42,P,0.01
37,42,P,0.01
33,61,P,0.01
33,42,P,0.01
29,61,P,0.01
29,42,P,0.01
23,61,P,0.01
23,42,P,0.01
21,42,P,0.01
20,61,P,0.01
20,42,P,0.01
19,61,P,0.01
19,42,P,0.01
18,61,P,0.01
18,42,P,0.01
11,42,P,0.01
10,61,P,0.01
10,42,P,0.01
0,57,P,0.01
0,38,P,0.01
0,11,P,0.01
0,17,P,0.0
