algorithm,pBug,pValid,times,precision_avg,recall_avg,auc_avg,wasted_avg,tests_avg,files_avg,bugged_avg
uniform,0,0,10,0.625411959391,0.465990214298,0.869722222222,0.8,9.8,10.0,1.9
randomForest,0,0,10,0.719318232699,0.565819427753,0.843125,1.45,9.8,10.0,1.9
0.0,0.6,0.0,10,0.986646845682,0.807117121162,0.985416666667,0.2,9.8,10.0,1.9
0.1,0.6,0.1,10,0.882862656603,0.717437375431,0.964583333333,0.2,9.8,10.0,1.9
0.2,0.6,0.2,10,0.806848416569,0.653629477374,0.964583333333,0.2,9.8,10.0,1.9
uniform,0,0,20,0.629116133445,0.409134057295,0.769823201675,3.65,19.7,19.4,2.75
randomForest,0,0,20,0.66932350484,0.455327862783,0.76197357445,4.05,19.7,19.4,2.75
0.0,0.6,0.0,20,0.924677338334,0.634195717697,0.852630741357,3.15,19.7,19.4,2.75
0.1,0.6,0.1,20,0.815539191311,0.556907604425,0.840130741357,3.2,19.7,19.4,2.75
0.2,0.6,0.2,20,0.747437906067,0.512518959354,0.829714074691,3.25,19.7,19.4,2.75
uniform,0,0,30,0.600477103897,0.366025524423,0.6788060949,5.45,28.7,25.4,3.05
randomForest,0,0,30,0.674693447789,0.429581586184,0.659826116545,5.05,28.7,25.4,3.05
0.0,0.6,0.0,30,0.908805615021,0.564044738244,0.755631491725,4.75,28.7,25.4,3.05
0.1,0.6,0.1,30,0.777908462823,0.483563723619,0.743131491725,4.8,28.7,25.4,3.05
0.2,0.6,0.2,30,0.705395042944,0.443764874977,0.720006491725,4.95,28.7,25.4,3.05
uniform,0,0,40,0.594073035422,0.361258128293,0.674419805025,5.75,32.25,27.2,3.05
randomForest,0,0,40,0.677680670486,0.429808811649,0.657826779994,5.4,32.25,27.2,3.05
0.0,0.6,0.0,40,0.905189703926,0.56144845262,0.753174765342,5.1,32.25,27.2,3.05
0.1,0.6,0.1,40,0.772969443577,0.480073378159,0.740674765342,5.15,32.25,27.2,3.05
0.2,0.6,0.2,40,0.699792018899,0.439674471888,0.717549765342,5.3,32.25,27.2,3.05
