7,P,0.25568427240354724
0,1,P,0.17258688593492696
6,P,0.059646027694781285
1,3,P,0.04314672147772761
1,14,P,0.04314672147772761
1,16,P,0.043146721401793854
0,5,P,0.043146721401793826
0,15,P,0.043146721401793826
9,P,0.03787915189889042
2,P,0.03787915189889042
11,P,0.026195791440956878
1,4,P,0.018202523102544485
0,10,P,0.018202523084708162
0,8,P,0.014138317172215573
0,13,P,0.014138317172215573
1,12,P,0.0141383171545647
5,14,P,0.010786680372207957
5,16,P,0.0107866803722079
15,16,P,0.0107866803722079
14,15,P,0.010786680372207815
3,5,P,0.010786680372205357
3,15,P,0.010786680372205357
3,10,P,0.0045506307724684746
4,5,P,0.004509249051315125
4,15,P,0.004509249051315125
10,14,P,0.004509249051315012
10,16,P,0.004509249051314983
3,8,P,0.003534579423806802
5,12,P,0.0035345794238047065
3,13,P,0.0035345794238011365
8,16,P,0.003532733279709388
13,16,P,0.003532733279709388
12,15,P,0.0035327332797092247
8,14,P,0.0035327332797048527
13,14,P,0.0035327332797048527
