1,P,0.9658695079951501
0,7,P,0.022894604630469866
24,P,0.005188460945176738
7,23,P,0.0015012908227048248
2,7,P,0.0015012908225660192
7,22,P,3.753227056313364E-4
7,18,P,3.753227056313364E-4
7,26,P,3.7532270552546263E-4
7,25,P,2.224134552122367E-4
7,27,P,2.224134552122366E-4
7,21,P,2.2241345521223653E-4
9,P,1.7613117255754534E-4
8,P,1.7613117255754534E-4
7,30,P,1.5833926507719028E-4
12,P,1.3383355400903483E-4
7,31,P,1.2298574418551986E-4
11,P,1.0407720394537042E-4
7,29,P,1.0055585144524766E-4
7,28,P,8.505229796633659E-5
7,15,P,8.505229780827034E-5
13,P,8.253433528099225E-5
7,32,P,2.6943406674202925E-5
