[Priors]
[1.01, 1.01, 0.01, 0.01, 0.01, 0.423, 0.01, 0.01, 0.01, 0.01, 0.01, 1.01, 0.01, 0.01, 1.01]
[Bugs]
0
1
2
3
[InitialTests]
0
10
1
2
[TestDetails]
0;[1, 2, 3, 10, 11, 14];[1, 2, 3, 10, 11, 14];1
1;[4, 6, 7, 10, 11];[4, 6, 7, 10, 11];0
2;[4, 5, 6, 7, 10, 11];[4, 5, 6, 7, 10, 11];0
3;[4, 6, 10, 11];[4, 6, 10, 11];0
4;[11];[11];0
5;[10, 14];[10, 14];0
6;[11];[11];0
7;[11];[11];0
8;[11];[11];0
9;[4, 5, 8, 9, 10, 11, 14];[4, 5, 8, 9, 10, 11, 14];0
10;[1, 10, 12, 13, 14];[1, 10, 12, 13, 14];1
11;[10];[10];0
12;[10];[10];0
13;[11];[11];0
14;[10, 11, 14];[10, 11, 14];0
15;[4, 5, 6, 9, 10, 11, 14];[4, 5, 6, 9, 10, 11, 14];0
16;[10, 11, 14];[10, 11, 14];0
17;[11];[11];0
18;[10];[10];0
19;[4, 6, 10, 11];[4, 6, 10, 11];0
20;[0, 4, 5, 6, 7, 8, 9, 10, 11, 14];[0, 4, 5, 6, 7, 8, 9, 10, 11, 14];1
21;[10];[10];0
22;[10];[10];0
23;[11];[11];0
24;[11];[11];0
25;[11, 14];[11, 14];0
26;[4, 6, 10, 11];[4, 6, 10, 11];0
27;[4, 5, 6, 10, 11];[4, 5, 6, 10, 11];0
28;[10];[10];0
29;[11];[11];0
30;[1, 3, 10, 11, 12, 14];[1, 3, 10, 11, 12, 14];1
