0,P,0.824895861404193
2,4,P,0.05963591413482317
4,13,P,0.014908978505392861
2,8,P,0.014908978505392861
2,6,P,0.014908978505392861
4,12,P,0.00883495023474873
4,11,P,0.00883495023474873
2,9,P,0.006289725304665139
2,5,P,0.006289725304658292
3,P,0.006232769126844271
1,P,0.006232769113937472
7,P,0.0043103478288601844
10,P,0.0043103478288601844
8,13,P,0.003727244633866735
6,13,P,0.003727244633866735
6,11,P,0.0022087375605565366
8,12,P,0.002208737560556534
6,12,P,0.002208737560556534
8,11,P,0.0022087375605565327
5,13,P,0.0015581322287612392
9,13,P,0.0015581322287612051
