0,P,0.838601638854724
1,P,0.12423727880432632
12,P,0.012715962319673842
18,P,0.00932831721581628
10,P,0.00932831721581628
7,8,P,0.0020965041008963073
17,P,0.0012300720673695676
8,11,P,5.241260262813732E-4
9,P,5.189366568414595E-4
14,P,5.189366568414595E-4
4,P,2.869512148995372E-4
16,P,1.8223290094642364E-4
15,P,1.8223290094642364E-4
5,P,9.23595763942206E-5
6,7,P,8.302986553971006E-5
6,11,P,2.075746638203899E-5
7,19,P,2.075746634550799E-5
7,13,P,8.757056111309229E-6
2,7,P,6.801806527816623E-6
3,7,P,5.561306508192837E-6
11,19,P,5.189366596845212E-6
11,13,P,2.1892640327211595E-6
2,11,P,1.6995634842880186E-6
3,11,P,1.3903266985300325E-6
