10,P,0.7395343232330103
0,1,P,0.07395343288713424
0,4,P,0.07395343288706817
5,P,0.06058264790930769
0,9,P,0.018488358221320455
0,27,P,0.007799776121219042
0,25,P,0.004953365637175785
0,35,P,0.004189667514633966
0,37,P,0.0032025480081368956
0,24,P,0.0028651075117846238
0,30,P,0.0021770565542134665
0,39,P,0.002177056524518675
0,28,P,0.0016490968375124234
7,P,0.0015270938890731907
0,8,P,0.001395329358108974
0,15,P,0.0011577479574487956
22,P,2.4216829349156516E-4
31,P,1.2335278371187162E-4
3,P,1.7938014964060122E-5
26,P,1.0499856165816288E-5
