[Priors]
[0.61, 0.61, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]
[Bugs]
0
1
[InitialTests]
0
10
1
2
[TestDetails]
0;[1, 7, 8, 9];[1, 7, 8, 9];1
1;[6, 7, 8, 9];[6, 7, 8, 9];0
2;[2, 3, 4, 5, 6];[2, 3, 4, 5, 6];0
3;[4, 5];[4, 5];0
4;[6, 7, 8, 9];[6, 7, 8, 9];0
5;[2, 3, 4, 5, 6];[2, 3, 4, 5, 6];0
6;[8];[8];0
7;[2, 3, 4, 5, 6];[2, 3, 4, 5, 6];0
8;[4];[4];0
9;[2, 3, 4, 5, 6, 7];[2, 3, 4, 5, 6, 7];0
10;[0, 2, 3, 4, 5, 6];[0, 2, 3, 4, 5, 6];1
11;[8];[8];0
12;[2, 3, 4, 5, 6];[2, 3, 4, 5, 6];0
13;[4, 5];[4, 5];0
14;[6, 7, 8, 9];[6, 7, 8, 9];0
15;[2, 4, 5, 6, 7, 8, 9];[2, 4, 5, 6, 7, 8, 9];0
16;[4, 8];[4, 8];0
17;[2, 3, 4, 5, 6];[2, 3, 4, 5, 6];0
18;[6, 7, 8, 9];[6, 7, 8, 9];0
19;[1, 2, 3, 4, 5, 6];[1, 2, 3, 4, 5, 6];0
20;[2, 3, 4, 5, 6];[2, 3, 4, 5, 6];0
