algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.226,0.226,4.2,5.3,11.8,1.3,1.1,5.3
randomForest,0,0,10,0.10625,0.10625,2.4,3.0,11.8,1.3,0.6,3.0
0.0,0.6,0.0,10,0.0,0.0,0.0,0,11.8,1.3,0,0
0.1,0.6,0.1,10,0.084,0.084,1.15,1.45,11.8,1.3,0.3,1.45
0.2,0.6,0.2,10,0.10725,0.10725,1.7,2.2,11.8,1.3,0.5,2.2
uniform,0,0,20,0.249666666667,0.23075,9.95,12.45,19.55,1.7,2.5,12.45
randomForest,0,0,20,0.26475,0.249583333333,8.25,10.35,19.55,1.7,2.1,10.35
0.0,0.6,0.0,20,0.0,0.0,0.0,0,19.55,1.7,0,0
0.1,0.6,0.1,20,0.221,0.219416666667,5.35,6.7,19.55,1.7,1.35,6.7
0.2,0.6,0.2,20,0.2285,0.211333333333,6.65,8.4,19.55,1.7,1.75,8.4
uniform,0,0,30,0.222833333333,0.204666666667,12.05,14.05,27.15,2.05,2.0,14.05
randomForest,0,0,30,0.156333333333,0.148,9.75,11.35,27.15,2.05,1.6,11.35
0.0,0.6,0.0,30,0.0,0.0,0.0,0,27.15,2.05,0,0
0.1,0.6,0.1,30,0.212333333333,0.197916666667,7.75,8.95,27.15,2.05,1.2,8.95
0.2,0.6,0.2,30,0.245,0.232416666667,10.95,12.75,27.15,2.05,1.8,12.75
uniform,0,0,40,0.290083333333,0.265666666667,16.3,19.8,27.8,2.05,3.5,19.8
randomForest,0,0,40,0.22975,0.222,13.15,16.05,27.8,2.05,2.9,16.05
0.0,0.6,0.0,40,0.0,0.0,0.0,0,27.8,2.05,0,0
0.1,0.6,0.1,40,0.17025,0.157416666667,6.5,7.95,27.8,2.05,1.45,7.95
0.2,0.6,0.2,40,0.242416666667,0.229666666667,11.65,14.25,27.8,2.05,2.6,14.25
