0,P,0.9789321461008273
2,7,P,0.00923685483840291
7,13,P,0.0023092137052154096
7,17,P,0.002309213705215409
15,P,0.0014359107000488434
6,7,P,0.0013684229391832318
7,10,P,9.741995315322893E-4
7,8,P,6.186807962689771E-4
3,P,6.05774844616243E-4
4,P,6.057748418736432E-4
9,P,3.349692578844419E-4
16,P,3.349692578844419E-4
14,P,3.349692578844419E-4
11,P,2.1272751751033264E-4
1,P,2.1272751751033264E-4
12,P,1.0781490775052086E-4
2,18,P,2.423099380146261E-5
2,5,P,1.4359107427785207E-5
13,18,P,6.0577484519246594E-6
17,18,P,6.0577484519244595E-6
6,18,P,3.589776009311033E-6
5,17,P,3.5897757170552475E-6
5,13,P,3.5897755281151872E-6
10,18,P,2.532372844784223E-6
8,18,P,1.6229821594816343E-6
