0,P,0.5179539587716167
1,2,P,0.31595191638528647
1,39,P,0.014243733974786484
1,45,P,0.014243733974786356
1,51,P,0.014243733974754562
1,55,P,0.014243733974753882
1,17,P,0.014243733973340967
1,37,P,0.008440731242751673
1,52,P,0.00844073123961515
1,44,P,0.008440731239614955
1,33,P,0.0060090752706280825
1,35,P,0.004667386748863616
1,31,P,0.004667386748862917
1,41,P,0.004667386748126936
1,30,P,0.0038161581504838112
1,28,P,0.0032277884808907236
1,50,P,0.0032277884748848646
1,46,P,0.0027967279922527094
1,40,P,0.002796727991372865
1,29,P,0.002796727991056421
1,53,P,0.0024672954406560733
1,43,P,0.0024672954404847507
1,48,P,0.0024672954385708754
1,47,P,0.0022073257380940455
36,P,0.002049965037174927
1,25,P,0.001996936745201756
1,19,P,0.0018231753016842967
1,27,P,0.0018231752977275132
1,21,P,0.0018231752833977116
1,20,P,0.0016772399687575521
1,32,P,0.0016772398978833769
1,24,P,0.0016772398746189249
1,49,P,0.0016772398696562921
1,26,P,0.0016772398696562921
1,42,P,0.0014457974588537863
6,P,7.839191900386515E-4
5,P,3.648497425121037E-4
34,P,3.6484974251210366E-4
3,P,1.928685479926964E-4
22,P,1.9286854799269634E-4
23,P,1.1557108901737594E-5
14,P,1.1557108901737591E-5
