algorithm,pBug,pValid,times,index,precision,recall,auc,wasted,tests,files,bugged,bugsIDS,pack
uniform,0,0,10,0,0.352962050964,0.352962050964,1.0,0,11,29,2,5,"""['src\\ooxml\\testcases\\org\\apache\\poi\\xslf'"
uniform,0,0,10,1,0.513084041965,0.513084041965,1.0,0,8,18,1,5,"""['src\\java\\org\\apache\\poi\\poifs'"
uniform,0,0,10,2,0.887726984662,0.470058969225,1.0,1,10,23,2,5,"""['src\\ooxml\\java\\org\\apache\\poi\\xwpf'"
uniform,0,0,10,3,0.656108691978,0.656108691978,1.0,0,9,12,1,5,"""['src\\testcases\\org\\apache\\poi\\ss\\formula\\functions'"
uniform,0,0,10,4,0.867612323545,0.867612323545,1.0,0,9,7,1,5,"""['src\\scratchpad\\src\\org\\apache\\poi\\hdgf'"
uniform,0,0,10,5,0.122528728742,0.122528728742,0.666666666667,2,11,8,1,5,"""['src\\java\\org\\apache\\poi\\ss'"
uniform,0,0,10,6,0.135606503883,0.0879207007476,0.475,3,11,10,2,5,"""['src\\ooxml\\java\\org'"
uniform,0,0,10,7,0.50393273642,0.50393273642,1.0,0,11,21,1,5,"""['src\\ooxml\\java\\org\\apache\\poi\\xssf\\usermodel'"
uniform,0,0,10,8,0.353053728882,0.353053728882,0.708333333333,2,11,17,2,5,"""['src\\ooxml\\java\\org\\apache\\poi\\xssf\\usermodel'"
uniform,0,0,10,9,1.0,1.0,1.0,0,1,1,1,4,"""['src\\java\\org\\apache\\poi\\hssf\\record\\cf'"
uniform,0,0,10,10,0.117374426635,0.117374426635,0.666666666667,1,11,10,2,5,"""['src\\scratchpad\\src\\org'"
uniform,0,0,10,11,0.675114277076,0.675114277076,1.0,0,8,12,1,5,"""['src\\java\\org\\apache\\poi\\hssf\\record\\aggregates'"
uniform,0,0,10,12,0.0632931816625,0.0632931816625,0.571428571429,6,10,22,1,5,"""['src\\scratchpad\\src\\org\\apache\\poi\\hdgf\\chunks'"
uniform,0,0,10,13,0.762619714001,0.40551225698,0.708333333333,2,8,9,2,5,"""['src\\scratchpad\\src\\org'"
uniform,0,0,10,14,0.648976852504,0.237239272488,0.551785714286,4,8,12,3,5,"""['src\\ooxml\\java\\org'"
uniform,0,0,10,15,0.52211288931,0.52211288931,1.0,0,11,16,1,5,"""['src\\java\\org\\apache\\poi\\hssf'"
randomForest,0,0,10,0,0.85496941936,0.85496941936,1.0,0,11,29,2,5,"""['src\\ooxml\\testcases\\org\\apache\\poi\\xslf'"
