0,P,0.8456114812418067
5,P,0.022590713337807766
14,P,0.022590713337807766
11,P,0.022590713337807766
2,10,P,0.01677360485377843
6,P,0.009530457295344187
19,P,0.009530457295344187
15,P,0.009530457295344187
9,P,0.005269961662972638
4,10,P,0.004193401213563795
10,17,P,0.00419340121286107
1,10,P,0.0041934012123480205
10,20,P,0.004193401205481119
2,12,P,0.004193401205481117
18,P,0.0033467723844841316
7,10,P,0.0024849784971191706
3,10,P,0.0024849784971191706
16,P,0.0023145014338842255
2,13,P,0.0017690911329137423
2,8,P,0.0011234892594419624
1,12,P,0.0010483503034850567
1,13,P,4.422727838036623E-4
