0,P,0.5221128893100324
15,P,0.05506659389938218
10,P,0.05506659389938218
2,5,P,0.05221128922956915
2,7,P,0.05221128922956079
5,7,P,0.05221128922955146
5,6,P,0.05221128922879058
2,3,P,0.05221128922723029
4,7,P,0.05221128922472404
2,14,P,0.013052822305953456
1,P,0.008158013930458077
5,11,P,0.0077350057976139155
7,11,P,0.007735005797613914
7,9,P,0.0055066593629376
5,13,P,0.003497091016655132
3,11,P,0.0032632055768269334
12,P,0.0026257798039050636
7,8,P,0.0025628949143796016
3,4,13,P,3.4970901543341455E-4
