0,P,0.9420885891925768
1,P,0.017999195656125563
2,5,P,0.011519485236387775
5,7,P,0.011519485236383874
5,6,P,0.011519485236215996
5,11,P,0.001706590402263519
15,P,0.001202916538508481
10,P,0.001202916538508481
5,13,P,7.7157045786658E-4
2,7,P,1.1405430927114784E-4
2,3,P,1.140543092660569E-4
4,7,P,1.1405430926058207E-4
12,P,5.7359530142182883E-5
2,14,P,2.851357731464843E-5
7,11,P,1.6896934675876422E-5
7,9,P,1.2029165326102602E-5
3,11,P,7.128394329401706E-6
7,8,P,5.598582481058608E-6
3,4,13,P,7.639309580306032E-8
