[Priors]
[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
[Bugs]
0
[InitialTests]
7
14
0
1
[TestDetails]
0;[37, 40];[37, 40];0
1;[37, 39, 40, 43];[37, 39, 40, 43];0
2;[1, 2, 3, 4, 6, 37, 39, 40, 43, 46];[1, 2, 3, 4, 6, 37, 39, 40, 43, 46];0
3;[36, 37, 40, 43];[36, 37, 40, 43];0
4;[41];[41];0
5;[37, 40, 43, 44, 46];[37, 40, 43, 44, 46];0
6;[1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15, 16, 17, 19, 21, 23, 24, 27, 29, 30, 31, 33, 43, 45, 46, 47, 49, 50];[1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15, 16, 17, 19, 21, 23, 24, 27, 29, 30, 31, 33, 43, 45, 46, 47, 49, 50];0
7;[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 23, 24, 25, 29, 30, 31, 33, 34, 35, 38, 41, 42, 43, 45, 46, 47, 49, 50, 51];[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 23, 24, 25, 29, 30, 31, 33, 34, 35, 38, 41, 42, 43, 45, 46, 47, 49, 50, 51];1
8;[1, 2, 37, 39, 40, 44, 45, 46, 50];[1, 2, 37, 39, 40, 44, 45, 46, 50];0
9;[1, 2, 4, 5, 37, 39, 40, 43, 44, 45, 46, 47, 48, 49];[1, 2, 4, 5, 37, 39, 40, 43, 44, 45, 46, 47, 48, 49];0
10;[1, 2, 4, 5, 6, 8, 12, 14, 15, 16, 19, 21, 23, 28, 29, 30, 31, 33, 36, 37, 39, 40, 45, 46, 47, 51];[1, 2, 4, 5, 6, 8, 12, 14, 15, 16, 19, 21, 23, 28, 29, 30, 31, 33, 36, 37, 39, 40, 45, 46, 47, 51];0
11;[1, 2, 4, 5, 6, 8, 9, 10, 13, 16, 17, 19, 20, 21, 22, 23, 29, 30, 31, 32, 33, 35, 38, 42, 43, 44, 45, 46, 47, 48, 49, 50];[1, 2, 4, 5, 6, 8, 9, 10, 13, 16, 17, 19, 20, 21, 22, 23, 29, 30, 31, 32, 33, 35, 38, 42, 43, 44, 45, 46, 47, 48, 49, 50];0
12;[1, 2, 6, 37, 39, 40, 44, 45, 46];[1, 2, 6, 37, 39, 40, 44, 45, 46];0
13;[1, 2, 4, 6, 36, 37, 39, 40, 42, 43, 44, 45, 46, 50];[1, 2, 4, 6, 36, 37, 39, 40, 42, 43, 44, 45, 46, 50];0
14;[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51];1
15;[1, 2, 4, 5, 6, 8, 19, 22, 23, 29, 31, 33, 38, 45, 46, 47, 48];[1, 2, 4, 5, 6, 8, 19, 22, 23, 29, 31, 33, 38, 45, 46, 47, 48];0
16;[19, 28, 31, 37, 40, 45, 51];[19, 28, 31, 37, 40, 45, 51];0
17;[1, 8, 9, 10, 11, 14, 15, 16, 19, 23, 24, 37, 39, 40, 43, 45, 47, 49, 50];[1, 8, 9, 10, 11, 14, 15, 16, 19, 23, 24, 37, 39, 40, 43, 45, 47, 49, 50];0
18;[1, 2, 4, 5, 6, 8, 9, 10, 16, 19, 23, 24, 25, 26, 29, 31, 33, 35, 42, 43, 45, 46, 47, 48, 49, 50];[1, 2, 4, 5, 6, 8, 9, 10, 16, 19, 23, 24, 25, 26, 29, 31, 33, 35, 42, 43, 45, 46, 47, 48, 49, 50];0
19;[1, 2, 4, 5, 6, 37, 40, 43, 44, 45, 46, 47, 48];[1, 2, 4, 5, 6, 37, 40, 43, 44, 45, 46, 47, 48];0
20;[1, 8, 9, 10, 12, 13, 14, 15, 16, 19, 24, 30, 31, 33, 34, 40, 43, 45, 47, 49, 50];[1, 8, 9, 10, 12, 13, 14, 15, 16, 19, 24, 30, 31, 33, 34, 40, 43, 45, 47, 49, 50];0
