[Priors]
[0.61, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]
[Bugs]
0
[InitialTests]
7
14
0
1
[TestDetails]
0;[47, 50];[47, 50];0
1;[47, 49, 50, 55];[47, 49, 50, 55];0
2;[1, 2, 3, 4, 6, 47, 49, 50, 55, 58];[1, 2, 3, 4, 6, 47, 49, 50, 55, 58];0
3;[46, 47, 50, 55];[46, 47, 50, 55];0
4;[53];[53];0
5;[47, 50, 55, 56, 58];[47, 50, 55, 56, 58];0
6;[1, 2, 4, 5, 6, 8, 9, 12, 14, 15, 16, 17, 18, 19, 20, 21, 23, 25, 27, 28, 33, 36, 37, 38, 41, 51, 52, 55, 57, 58, 59, 61, 62];[1, 2, 4, 5, 6, 8, 9, 12, 14, 15, 16, 17, 18, 19, 20, 21, 23, 25, 27, 28, 33, 36, 37, 38, 41, 51, 52, 55, 57, 58, 59, 61, 62];0
7;[0, 1, 2, 4, 5, 6, 8, 9, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 35, 36, 37, 38, 41, 42, 43, 48, 51, 53, 54, 55, 57, 58, 59, 61, 62, 63];[0, 1, 2, 4, 5, 6, 8, 9, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 35, 36, 37, 38, 41, 42, 43, 48, 51, 53, 54, 55, 57, 58, 59, 61, 62, 63];1
8;[1, 2, 47, 49, 50, 56, 57, 58, 62];[1, 2, 47, 49, 50, 56, 57, 58, 62];0
9;[1, 2, 4, 5, 47, 49, 50, 55, 56, 57, 58, 59, 60, 61];[1, 2, 4, 5, 47, 49, 50, 55, 56, 57, 58, 59, 60, 61];0
10;[1, 2, 4, 5, 6, 8, 14, 16, 17, 18, 19, 23, 25, 27, 34, 36, 37, 38, 41, 46, 47, 49, 50, 57, 58, 59, 63];[1, 2, 4, 5, 6, 8, 14, 16, 17, 18, 19, 23, 25, 27, 34, 36, 37, 38, 41, 46, 47, 49, 50, 57, 58, 59, 63];0
11;[1, 2, 4, 5, 6, 8, 9, 12, 15, 18, 19, 20, 21, 23, 24, 25, 26, 27, 36, 37, 38, 40, 41, 43, 44, 48, 51, 54, 55, 56, 57, 58, 59, 60, 61, 62];[1, 2, 4, 5, 6, 8, 9, 12, 15, 18, 19, 20, 21, 23, 24, 25, 26, 27, 36, 37, 38, 40, 41, 43, 44, 48, 51, 54, 55, 56, 57, 58, 59, 60, 61, 62];0
12;[1, 2, 6, 47, 49, 50, 56, 57, 58];[1, 2, 6, 47, 49, 50, 56, 57, 58];0
13;[1, 2, 4, 6, 46, 47, 49, 50, 54, 55, 56, 57, 58, 62];[1, 2, 4, 6, 46, 47, 49, 50, 54, 55, 56, 57, 58, 62];0
14;[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63];1
15;[1, 2, 4, 5, 6, 8, 23, 26, 27, 36, 38, 41, 48, 57, 58, 59, 60];[1, 2, 4, 5, 6, 8, 23, 26, 27, 36, 38, 41, 48, 57, 58, 59, 60];0
