[Priors]
[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
[Bugs]
0
1
[InitialTests]
0
4
1
2
3
[TestDetails]
0;[0, 1, 2, 4, 5, 6, 7, 9, 10, 11, 12];[0, 1, 2, 4, 5, 6, 7, 9, 10, 11, 12];1
1;[11, 12];[11, 12];0
2;[11, 12];[11, 12];0
3;[11, 12];[11, 12];0
4;[0, 2, 3, 4, 5, 6, 8, 9];[0, 2, 3, 4, 5, 6, 8, 9];1
5;[11, 12];[11, 12];0
6;[11, 12];[11, 12];0
7;[11, 12];[11, 12];0
8;[0, 5, 6, 7];[0, 5, 6, 7];0
9;[5];[5];0
10;[2, 8, 10];[2, 8, 10];0
11;[11, 12];[11, 12];0
12;[11, 12];[11, 12];0
13;[0, 2, 4, 5];[0, 2, 4, 5];0
14;[11];[11];0
15;[11, 12];[11, 12];0
