algorithm,pBug,pValid,times,index,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0,0.4,0.4,9.0,11.0,29,2,2.0,11.0
uniform,0,0,10,1,0.52,0.52,6.0,8.0,18,1,2.0,8.0
uniform,0,0,10,2,0.66,0.35,8.0,10.0,23,2,2.0,10.0
uniform,0,0,10,3,0.63,0.63,7.0,9.0,12,1,2.0,9.0
uniform,0,0,10,4,0.77,0.77,2.0,9.0,7,1,2.0,9.0
uniform,0,0,10,5,0.13,0.13,9.0,11.0,8,1,2.0,11.0
uniform,0,0,10,6,0.135,0.085,9.0,11.0,10,2,2.0,11.0
uniform,0,0,10,7,0.5,0.5,9.0,11.0,21,1,2.0,11.0
uniform,0,0,10,8,0.235,0.235,9.0,11.0,17,2,2.0,11.0
uniform,0,0,10,9,1.0,1.0,0.0,1.0,1,1,1.0,1.0
uniform,0,0,10,10,0.13,0.13,4.0,11.0,10,2,2.0,11.0
uniform,0,0,10,11,0.69,0.69,6.0,8.0,12,1,2.0,8.0
uniform,0,0,10,12,0.06,0.06,8.0,10.0,22,1,2.0,10.0
uniform,0,0,10,13,0.75,0.4,3.0,8.0,9,2,2.0,8.0
uniform,0,0,10,14,0.593333333333,0.233333333333,6.0,8.0,12,3,2.0,8.0
uniform,0,0,10,15,0.52,0.52,9.0,11.0,16,1,2.0,11.0
randomForest,0,0,10,0,0.745,0.745,9.0,11.0,29,2,2.0,11.0
randomForest,0,0,10,1,0.01,0.01,0.0,8.0,18,1,2.0,8.0
randomForest,0,0,10,2,0.95,0.475,0.0,10.0,23,2,2.0,10.0
randomForest,0,0,10,3,0.76,0.76,1.0,9.0,12,1,2.0,9.0
randomForest,0,0,10,4,0.98,0.98,0.0,9.0,7,1,2.0,9.0
randomForest,0,0,10,5,0.95,0.95,0.0,11.0,8,1,2.0,11.0
randomForest,0,0,10,6,0.105,0.055,2.0,11.0,10,2,2.0,11.0
randomForest,0,0,10,7,0.71,0.71,4.0,11.0,21,1,2.0,11.0
randomForest,0,0,10,8,0.19,0.095,1.0,11.0,17,2,2.0,11.0
randomForest,0,0,10,9,1.0,1.0,0.0,1.0,1,1,1.0,1.0
randomForest,0,0,10,10,0.465,0.465,9.0,11.0,10,2,2.0,11.0
randomForest,0,0,10,11,0.74,0.74,2.0,8.0,12,1,2.0,8.0
randomForest,0,0,10,12,0.14,0.14,8.0,10.0,22,1,2.0,10.0
randomForest,0,0,10,13,0.8,0.4,1.0,8.0,9,2,2.0,8.0
randomForest,0,0,10,14,0.95,0.316666666667,0.0,8.0,12,3,2.0,8.0
randomForest,0,0,10,15,0.83,0.83,3.0,11.0,16,1,2.0,11.0
0.0,0.6,0.0,10,0,0.83,0.415,0.0,11.0,29,2,2.0,11.0
0.0,0.6,0.0,10,1,0.9,0.9,0.0,8.0,18,1,2.0,8.0
0.0,0.6,0.0,10,2,0.92,0.46,0.0,10.0,23,2,2.0,10.0
0.0,0.6,0.0,10,3,0.87,0.87,0.0,9.0,12,1,2.0,9.0
0.0,0.6,0.0,10,4,0.97,0.97,0.0,9.0,7,1,2.0,9.0
0.0,0.6,0.0,10,5,0.92,0.92,0.0,11.0,8,1,2.0,11.0
0.0,0.6,0.0,10,6,0.94,0.475,1.0,11.0,10,2,2.0,11.0
0.0,0.6,0.0,10,7,0.87,0.87,0.0,11.0,21,1,2.0,11.0
0.0,0.6,0.0,10,8,0.91,0.455,0.0,11.0,17,2,2.0,11.0
0.0,0.6,0.0,10,9,1.0,1.0,0.0,1.0,1,1,1.0,1.0
0.0,0.6,0.0,10,10,0.95,0.475,0.0,11.0,10,2,2.0,11.0
0.0,0.6,0.0,10,11,0.89,0.89,0.0,8.0,12,1,2.0,8.0
0.0,0.6,0.0,10,12,0.75,0.75,4.0,10.0,22,1,2.0,10.0
0.0,0.6,0.0,10,13,0.965,0.49,1.0,8.0,9,2,2.0,8.0
0.0,0.6,0.0,10,14,0.91,0.303333333333,0.0,8.0,12,3,2.0,8.0
0.0,0.6,0.0,10,15,0.88,0.88,0.0,11.0,16,1,2.0,11.0
0.1,0.6,0.1,10,0,0.8,0.8,9.0,11.0,29,2,2.0,11.0
0.1,0.6,0.1,10,1,0.79,0.79,3.0,8.0,18,1,2.0,8.0
0.1,0.6,0.1,10,2,0.775,0.415,3.0,10.0,23,2,2.0,10.0
0.1,0.6,0.1,10,3,0.84,0.84,3.0,9.0,12,1,2.0,9.0
0.1,0.6,0.1,10,4,0.72,0.72,0.0,9.0,7,1,2.0,9.0
0.1,0.6,0.1,10,5,0.44,0.44,9.0,11.0,8,1,2.0,11.0
0.1,0.6,0.1,10,6,0.42,0.275,9.0,11.0,10,2,2.0,11.0
0.1,0.6,0.1,10,7,0.76,0.76,3.0,11.0,21,1,2.0,11.0
0.1,0.6,0.1,10,8,0.665,0.665,9.0,11.0,17,2,2.0,11.0
0.1,0.6,0.1,10,9,1.0,1.0,0.0,1.0,1,1,1.0,1.0
0.1,0.6,0.1,10,10,0.74,0.74,9.0,11.0,10,2,2.0,11.0
0.1,0.6,0.1,10,11,0.75,0.75,3.0,8.0,12,1,2.0,8.0
0.1,0.6,0.1,10,12,0.27,0.27,8.0,10.0,22,1,2.0,10.0
0.1,0.6,0.1,10,13,0.875,0.48,2.0,8.0,9,2,2.0,8.0
0.1,0.6,0.1,10,14,0.821666666667,0.313333333333,5.0,8.0,12,3,2.0,8.0
0.1,0.6,0.1,10,15,0.7,0.7,3.0,11.0,16,1,2.0,11.0
0.2,0.6,0.2,10,0,0.695,0.695,9.0,11.0,29,2,2.0,11.0
0.2,0.6,0.2,10,1,0.64,0.64,6.0,8.0,18,1,2.0,8.0
0.2,0.6,0.2,10,2,0.765,0.425,8.0,10.0,23,2,2.0,10.0
0.2,0.6,0.2,10,3,0.77,0.77,4.0,9.0,12,1,2.0,9.0
0.2,0.6,0.2,10,4,0.85,0.85,2.0,9.0,7,1,2.0,9.0
0.2,0.6,0.2,10,5,0.29,0.29,9.0,11.0,8,1,2.0,11.0
0.2,0.6,0.2,10,6,0.315,0.23,9.0,11.0,10,2,2.0,11.0
0.2,0.6,0.2,10,7,0.69,0.69,9.0,11.0,21,1,2.0,11.0
0.2,0.6,0.2,10,8,0.555,0.555,9.0,11.0,17,2,2.0,11.0
0.2,0.6,0.2,10,9,1.0,1.0,0.0,1.0,1,1,1.0,1.0
0.2,0.6,0.2,10,10,0.555,0.555,9.0,11.0,10,2,2.0,11.0
0.2,0.6,0.2,10,11,0.75,0.75,4.0,8.0,12,1,2.0,8.0
0.2,0.6,0.2,10,12,0.17,0.17,8.0,10.0,22,1,2.0,10.0
0.2,0.6,0.2,10,13,0.825,0.45,4.0,8.0,9,2,2.0,8.0
0.2,0.6,0.2,10,14,0.65,0.28,6.0,8.0,12,3,2.0,8.0
0.2,0.6,0.2,10,15,0.65,0.65,9.0,11.0,16,1,2.0,11.0
uniform,0,0,20,0,0.225,0.163333333333,17.0,21.0,46,3,4.0,21.0
uniform,0,0,20,1,0.633333333333,0.645,14.0,18.0,31,2,4.0,18.0
uniform,0,0,20,2,0.435,0.29,17.0,21.0,54,3,4.0,21.0
uniform,0,0,20,3,0.71,0.355,5.0,21.0,75,2,4.0,21.0
uniform,0,0,20,4,0.44,0.44,13.0,17.0,12,1,4.0,17.0
uniform,0,0,20,5,0.195,0.195,17.0,21.0,51,2,4.0,21.0
uniform,0,0,20,6,0.075,0.055,12.0,16.0,13,2,4.0,16.0
uniform,0,0,20,7,0.255,0.255,17.0,21.0,49,2,4.0,21.0
uniform,0,0,20,8,0.28,0.28,15.0,19.0,30,2,4.0,19.0
uniform,0,0,20,9,0.555,0.555,5.0,11.0,5,2,4.0,11.0
uniform,0,0,20,10,0.453333333333,0.465,17.0,21.0,16,2,4.0,21.0
uniform,0,0,20,11,0.7,0.35,6.0,21.0,30,2,4.0,21.0
uniform,0,0,20,12,0.18,0.18,16.0,20.0,53,1,4.0,20.0
uniform,0,0,20,13,0.41,0.41,17.0,21.0,26,2,4.0,21.0
uniform,0,0,20,14,0.661666666667,0.253333333333,4.0,8.0,12,3,4.0,8.0
uniform,0,0,20,15,0.46,0.46,17.0,21.0,27,1,4.0,21.0
randomForest,0,0,20,0,0.54,0.486666666667,17.0,21.0,46,3,4.0,21.0
randomForest,0,0,20,1,0.01,0.005,1.0,18.0,31,2,4.0,18.0
randomForest,0,0,20,2,0.885,0.3,0.0,21.0,54,3,4.0,21.0
randomForest,0,0,20,3,0.89,0.445,2.0,21.0,75,2,4.0,21.0
randomForest,0,0,20,4,0.99,0.99,0.0,17.0,12,1,4.0,17.0
randomForest,0,0,20,5,0.315,0.315,17.0,21.0,51,2,4.0,21.0
randomForest,0,0,20,6,0.05,0.025,3.0,16.0,13,2,4.0,16.0
randomForest,0,0,20,7,0.42,0.42,17.0,21.0,49,2,4.0,21.0
randomForest,0,0,20,8,0.36,0.36,15.0,19.0,30,2,4.0,19.0
randomForest,0,0,20,9,0.6,0.6,1.0,11.0,5,2,4.0,11.0
randomForest,0,0,20,10,0.831666666667,0.835,4.0,21.0,16,2,4.0,21.0
randomForest,0,0,20,11,0.81,0.405,2.0,21.0,30,2,4.0,21.0
randomForest,0,0,20,12,0.21,0.21,16.0,20.0,53,1,4.0,20.0
randomForest,0,0,20,13,0.525,0.525,17.0,21.0,26,2,4.0,21.0
randomForest,0,0,20,14,0.95,0.326666666667,0.0,8.0,12,3,4.0,8.0
randomForest,0,0,20,15,0.82,0.82,3.0,21.0,27,1,4.0,21.0
0.0,0.6,0.0,20,0,0.865,0.576666666667,0.0,21.0,46,3,4.0,21.0
0.0,0.6,0.0,20,1,0.9,0.45,0.0,18.0,31,2,4.0,18.0
0.0,0.6,0.0,20,2,0.945,0.32,0.0,21.0,54,3,4.0,21.0
0.0,0.6,0.0,20,3,0.88,0.44,0.0,21.0,75,2,4.0,21.0
0.0,0.6,0.0,20,4,0.98,0.98,0.0,17.0,12,1,4.0,17.0
0.0,0.6,0.0,20,5,0.87,0.87,3.0,21.0,51,2,4.0,21.0
0.0,0.6,0.0,20,6,0.92,0.465,0.0,16.0,13,2,4.0,16.0
0.0,0.6,0.0,20,7,0.86,0.43,0.0,21.0,49,2,4.0,21.0
0.0,0.6,0.0,20,8,0.835,0.835,0.0,19.0,30,2,4.0,19.0
0.0,0.6,0.0,20,9,0.985,0.985,0.0,11.0,5,2,4.0,11.0
0.0,0.6,0.0,20,10,0.895,0.895,0.0,21.0,16,2,4.0,21.0
0.0,0.6,0.0,20,11,0.89,0.445,0.0,21.0,30,2,4.0,21.0
0.0,0.6,0.0,20,12,0.88,0.88,0.0,20.0,53,1,4.0,20.0
0.0,0.6,0.0,20,13,0.955,0.495,0.0,21.0,26,2,4.0,21.0
0.0,0.6,0.0,20,14,0.94,0.323333333333,0.0,8.0,12,3,4.0,8.0
0.0,0.6,0.0,20,15,0.84,0.84,0.0,21.0,27,1,4.0,21.0
0.1,0.6,0.1,20,0,0.753333333333,0.713333333333,17.0,21.0,46,3,4.0,21.0
0.1,0.6,0.1,20,1,0.78,0.39,3.0,18.0,31,2,4.0,18.0
0.1,0.6,0.1,20,2,0.83,0.553333333333,17.0,21.0,54,3,4.0,21.0
0.1,0.6,0.1,20,3,0.75,0.375,2.0,21.0,75,2,4.0,21.0
0.1,0.6,0.1,20,4,0.76,0.76,0.0,17.0,12,1,4.0,17.0
0.1,0.6,0.1,20,5,0.545,0.545,17.0,21.0,51,2,4.0,21.0
0.1,0.6,0.1,20,6,0.27,0.2,12.0,16.0,13,2,4.0,16.0
0.1,0.6,0.1,20,7,0.635,0.635,17.0,21.0,49,2,4.0,21.0
0.1,0.6,0.1,20,8,0.67,0.67,15.0,19.0,30,2,4.0,19.0
0.1,0.6,0.1,20,9,0.89,0.89,0.0,11.0,5,2,4.0,11.0
0.1,0.6,0.1,20,10,0.85,0.855,2.0,21.0,16,2,4.0,21.0
0.1,0.6,0.1,20,11,0.71,0.355,2.0,21.0,30,2,4.0,21.0
0.1,0.6,0.1,20,12,0.52,0.52,16.0,20.0,53,1,4.0,20.0
0.1,0.6,0.1,20,13,0.69,0.69,17.0,21.0,26,2,4.0,21.0
0.1,0.6,0.1,20,14,0.825,0.316666666667,3.0,8.0,12,3,4.0,8.0
0.1,0.6,0.1,20,15,0.75,0.75,8.0,21.0,27,1,4.0,21.0
0.2,0.6,0.2,20,0,0.596666666667,0.55,17.0,21.0,46,3,4.0,21.0
0.2,0.6,0.2,20,1,0.7,0.35,8.0,18.0,31,2,4.0,18.0
0.2,0.6,0.2,20,2,0.7,0.466666666667,17.0,21.0,54,3,4.0,21.0
0.2,0.6,0.2,20,3,0.77,0.385,3.0,21.0,75,2,4.0,21.0
0.2,0.6,0.2,20,4,0.54,0.54,13.0,17.0,12,1,4.0,17.0
0.2,0.6,0.2,20,5,0.425,0.425,17.0,21.0,51,2,4.0,21.0
0.2,0.6,0.2,20,6,0.25,0.21,12.0,16.0,13,2,4.0,16.0
0.2,0.6,0.2,20,7,0.545,0.545,17.0,21.0,49,2,4.0,21.0
0.2,0.6,0.2,20,8,0.53,0.53,15.0,19.0,30,2,4.0,19.0
0.2,0.6,0.2,20,9,0.69,0.69,7.0,11.0,5,2,4.0,11.0
0.2,0.6,0.2,20,10,0.801666666667,0.82,4.0,21.0,16,2,4.0,21.0
0.2,0.6,0.2,20,11,0.77,0.385,3.0,21.0,30,2,4.0,21.0
0.2,0.6,0.2,20,12,0.25,0.25,16.0,20.0,53,1,4.0,20.0
0.2,0.6,0.2,20,13,0.575,0.575,17.0,21.0,26,2,4.0,21.0
0.2,0.6,0.2,20,14,0.676666666667,0.273333333333,4.0,8.0,12,3,4.0,8.0
0.2,0.6,0.2,20,15,0.57,0.57,17.0,21.0,27,1,4.0,21.0
uniform,0,0,30,0,0.413333333333,0.41,27.0,31.0,69,3,4.0,31.0
uniform,0,0,30,1,0.478333333333,0.51,27.0,31.0,98,2,4.0,31.0
uniform,0,0,30,2,0.235,0.156666666667,27.0,31.0,82,3,4.0,31.0
uniform,0,0,30,3,0.538333333333,0.285,27.0,31.0,103,2,4.0,31.0
uniform,0,0,30,4,0.32,0.32,27.0,31.0,99,1,4.0,31.0
uniform,0,0,30,5,0.4,0.4,27.0,31.0,72,2,4.0,31.0
uniform,0,0,30,6,0.075,0.055,12.0,16.0,13,2,4.0,16.0
uniform,0,0,30,7,0.485,0.485,27.0,31.0,64,2,4.0,31.0
uniform,0,0,30,8,0.29,0.29,15.0,19.0,30,2,4.0,19.0
uniform,0,0,30,9,0.448333333333,0.45,27.0,31.0,56,2,4.0,31.0
uniform,0,0,30,10,0.491666666667,0.52,27.0,31.0,29,2,4.0,31.0
uniform,0,0,30,11,0.7,0.35,5.0,31.0,40,2,4.0,31.0
uniform,0,0,30,12,0.3,0.3,27.0,31.0,87,2,4.0,31.0
uniform,0,0,30,13,0.283333333333,0.285,7.0,31.0,47,2,4.0,31.0
uniform,0,0,30,14,0.646666666667,0.243333333333,4.0,8.0,12,3,4.0,8.0
uniform,0,0,30,15,0.43,0.43,16.0,22.0,30,1,4.0,22.0
randomForest,0,0,30,0,0.66,0.66,27.0,31.0,69,3,4.0,31.0
randomForest,0,0,30,1,0.375,0.385,27.0,31.0,98,2,4.0,31.0
randomForest,0,0,30,2,0.845,0.316666666667,2.0,31.0,82,3,4.0,31.0
randomForest,0,0,30,3,0.925,0.465,4.0,31.0,103,2,4.0,31.0
randomForest,0,0,30,4,0.93,0.93,0.0,31.0,99,1,4.0,31.0
randomForest,0,0,30,5,0.515,0.515,27.0,31.0,72,2,4.0,31.0
randomForest,0,0,30,6,0.05,0.025,3.0,16.0,13,2,4.0,16.0
randomForest,0,0,30,7,0.66,0.66,27.0,31.0,64,2,4.0,31.0
randomForest,0,0,30,8,0.365,0.365,15.0,19.0,30,2,4.0,19.0
randomForest,0,0,30,9,0.58,0.58,2.0,31.0,56,2,4.0,31.0
randomForest,0,0,30,10,0.428333333333,0.46,3.0,31.0,29,2,4.0,31.0
randomForest,0,0,30,11,0.76,0.38,3.0,31.0,40,2,4.0,31.0
randomForest,0,0,30,12,0.24,0.24,27.0,31.0,87,2,4.0,31.0
randomForest,0,0,30,13,0.336666666667,0.375,27.0,31.0,47,2,4.0,31.0
randomForest,0,0,30,14,0.95,0.326666666667,0.0,8.0,12,3,4.0,8.0
randomForest,0,0,30,15,0.82,0.82,3.0,22.0,30,1,4.0,22.0
0.0,0.6,0.0,30,0,0.805,0.536666666667,0.0,31.0,69,3,4.0,31.0
0.0,0.6,0.0,30,1,0.74,0.37,0.0,31.0,98,2,4.0,31.0
0.0,0.6,0.0,30,2,0.91,0.313333333333,0.0,31.0,82,3,4.0,31.0
0.0,0.6,0.0,30,3,0.8,0.4,0.0,31.0,103,2,4.0,31.0
0.0,0.6,0.0,30,4,0.98,0.98,0.0,31.0,99,1,4.0,31.0
